"Qty";"Value";"Device";"Package";"Parts";"Description";"ARROW_PART_NUMBER";"ARROW_PRICE-STOCK";"DESCRIPTION";"HEIGHT";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MF";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MPN";"OC_FARNELL";"OC_NEWARK";"POPULARITY";"SPICEPREFIX";
"1";"NCP1117ST50T3G";"NCP1117ST50T3G";"SOT230P700X180-4N";"IC3";"ON SEMICONDUCTOR - NCP1117ST50T3G - LDO, REG, 20VIN, 1A, 5V, 1%, SOT223-3";"NCP1117ST50T3G";"https://www.arrow.com/en/products/ncp1117st50t3g/on-semiconductor";"ON SEMICONDUCTOR - NCP1117ST50T3G - LDO, REG, 20VIN, 1A, 5V, 1%, SOT223-3";"1.8mm";"ON Semiconductor";"NCP1117ST50T3G";"";"863-NCP1117ST50T3G";"https://www.mouser.co.uk/ProductDetail/ON-Semiconductor/NCP1117ST50T3G?qs=Gev%252BmEvV0ib6dijy6U0dhQ%3D%3D";"";"";"";"";"";
"3";"OPEN-PNP-FIDUCIAL";"OPEN-PNP-FIDUCIAL";"OPEN-PNP-FIDUCIAL";"FID1, FID2, FID3";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"S8050G";"S8050G";"SOT95P240X110-3N";"Q2, Q3";"Silicon Epitaxial Planar Transistor";"";"";"Silicon Epitaxial Planar Transistor";"1.1mm";"Galaxy";"S8050G";"";"";"";"";"";"";"";"";
"1";"SP0503BAHTG";"SP0503BAHTG";"SP0503BAHTG";"D1";"ESD Suppressors / TVS Diodes TVS AVAL DIODE SMT";"SP0503BAHTG";"https://www.arrow.com/en/products/sp0503bahtg/littelfuse";"ESD Suppressors / TVS Diodes TVS AVAL DIODE SMT";"1.22mm";"LITTELFUSE";"SP0503BAHTG";"";"576-SP0503BAHTG";"https://www.mouser.co.uk/ProductDetail/Littelfuse/SP0503BAHTG?qs=uD%2FdkN7XIa0NTYXwHdELYA%3D%3D";"";"";"";"";"";
"2";"ST(Semtech) CK1C470M-CRD54 - 47uF";"CPOL-EUC";"PANASONIC_C";"C2, C7";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"4";"C";
"2";"TS-1187A-C-E-B";"TS-1187A-C-E-B";"TS1187ACEB";"S1, S2";"SPST 50mA @ 12VDC 5.10mm x 5.10mm SMD Tactile Switches RoHS";"";"";"SPST 50mA @ 12VDC 5.10mm x 5.10mm SMD Tactile Switches RoHS";"1.65mm";"XKB Enterprise";"TS-1187A-C-E-B";"";"";"";"";"";"";"";"";
"1";"Uniroyal Elec 0402WGF1001TCE - 170R";"R-EU_R0402";"R0402";"R1";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"0";"R";
"2";"Uniroyal Elec 0402WGF1001TCE - 1k";"R-EU_R0402";"R0402";"R5, R12";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"0";"R";
"2";"Uniroyal Elec 0402WGF1002TCE - 10k";"R-EU_R0402";"R0402";"R3, R4";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"0";"R";
"4";"Uniroyal Elec 0402WGF1202TCE - 12k";"R-EU_R0402";"R0402";"R2, R10, R16, R17";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"0";"R";
"1";"Uniroyal Elec 0402WGF1801TCE - 1k8";"R-EU_R0402";"R0402";"R6";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"0";"R";
"1";"Uniroyal Elec 0402WGF2402TCE - 24k";"R-EU_R0402";"R0402";"R7";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"0";"R";
"1";"Uniroyal Elec 0402WGF3900TCE - 390R";"R-EU_R0402";"R0402";"R13";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"0";"R";
"4";"Uniroyal Elec 0402WGF4700TCE - 470";"R-EU_R0402";"R0402";"R11, R14, R15, R18";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"0";"R";
"1";"Uniroyal Elec 0402WGF4701TCE - 4k7";"R-EU_R0402";"R0402";"R9";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"0";"R";
"1";"Uniroyal Elec 0402WGF4702TCE - 47k";"R-EU_R0402";"R0402";"R8";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"0";"R";
"4";"Walsin Tech Corp 0603B104K250CT - 100nF";"C-EUC0603";"C0603";"C1, C4, C11, C12";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"73";"C";
